TransactionID,CustomerID,ProductID,ProductName,Quantity,PriceperUnit,Date,TotalPrice,Region
30,735,108,Yogurt,5,4.0,11/6/2022,20.0,Colombo
31,653,102,Cheese,1,2.5,8/20/2022,2.5,Colombo
32,294,107,Milk,5,2.0,2/7/2023,10.0,Colombo
33,606,106,Fish,6,12.0,3/15/2023,72.0,Colombo
34,492,109,Cereal,3,5.0,7/21/2022,15.0,Colombo
35,727,108,Yogurt,10,4.0,1/28/2023,40.0,Colombo
36,778,103,Bread,1,3.0,1/29/2023,3.0,Colombo
37,283,108,Yogurt,9,4.0,2/16/2023,36.0,Colombo
38,704,108,Yogurt,1,4.0,1/5/2023,4.0,Colombo
39,593,107,Milk,3,2.0,7/14/2022,6.0,Colombo
40,193,101,Banana,4,1.5,6/19/2022,6.0,Colombo
41,449,101,Banana,4,1.5,11/27/2022,6.0,Colombo
42,423,100,Apple,6,1.0,5/31/2022,6.0,Colombo
43,621,108,Yogurt,9,4.0,4/30/2022,36.0,Colombo
44,662,109,Cereal,6,5.0,8/17/2022,30.0,Colombo
45,545,104,Beef,2,10.0,9/20/2022,20.0,Colombo
46,962,106,Fish,8,12.0,3/10/2023,96.0,Colombo
47,676,108,Yogurt,6,4.0,12/26/2022,24.0,Colombo
48,244,101,Banana,3,1.5,2/6/2023,4.5,Colombo
49,111,108,Yogurt,6,4.0,10/22/2022,24.0,Colombo
50,793,104,Beef,6,10.0,1/22/2023,60.0,Colombo
51,162,105,Chicken,10,8.0,2/15/2023,80.0,Colombo
52,730,108,Yogurt,10,4.0,3/26/2023,40.0,Colombo
53,983,100,Apple,6,1.0,3/2/2023,6.0,Colombo
54,443,101,Banana,7,1.5,7/9/2022,10.5,Colombo
55,980,104,Beef,3,10.0,4/15/2023,30.0,Colombo
56,225,109,Cereal,7,5.0,3/9/2023,35.0,Colombo
57,781,102,Cheese,6,2.5,11/11/2022,15.0,Colombo
58,618,102,Cheese,10,2.5,10/6/2022,25.0,Colombo
59,570,103,Bread,4,3.0,3/13/2023,12.0,Colombo
60,254,101,Banana,10,1.5,7/3/2022,15.0,Colombo
61,130,104,Beef,4,10.0,3/6/2023,40.0,Colombo
62,990,102,Cheese,2,2.5,12/17/2022,5.0,Colombo
63,609,105,Chicken,10,8.0,4/3/2023,80.0,Colombo
64,797,108,Yogurt,1,4.0,3/6/2023,4.0,Colombo
65,824,100,Apple,6,1.0,6/24/2022,6.0,Colombo
66,789,105,Chicken,6,8.0,8/30/2022,48.0,Colombo
67,692,106,Fish,9,12.0,6/22/2022,108.0,Colombo
68,182,106,Fish,2,12.0,9/8/2022,24.0,Colombo
69,260,105,Chicken,3,8.0,11/24/2022,24.0,Colombo
70,767,103,Bread,2,3.0,11/11/2022,6.0,Colombo
71,350,103,Bread,9,3.0,1/25/2023,27.0,Colombo
72,293,108,Yogurt,7,4.0,2/3/2023,28.0,Colombo
73,461,105,Chicken,6,8.0,3/5/2023,48.0,Colombo
74,370,103,Bread,3,3.0,9/29/2022,9.0,Colombo
75,590,106,Fish,8,12.0,6/13/2022,96.0,Colombo
76,338,103,Bread,7,3.0,6/22/2022,21.0,Colombo
77,187,102,Cheese,9,2.5,5/14/2022,22.5,Colombo
78,963,107,Milk,10,2.0,7/16/2022,20.0,Colombo
79,173,105,Chicken,7,8.0,4/9/2023,56.0,Colombo
80,344,108,Yogurt,9,4.0,9/25/2022,36.0,Colombo
81,801,109,Cereal,9,5.0,10/20/2022,45.0,Colombo
82,882,105,Chicken,1,8.0,12/7/2022,8.0,Colombo
83,289,104,Beef,8,10.0,2/2/2023,80.0,Colombo
84,665,109,Cereal,2,5.0,10/24/2022,10.0,Colombo
85,645,102,Cheese,4,2.5,2/12/2023,10.0,Colombo
86,199,103,Bread,8,3.0,3/20/2023,24.0,Colombo
87,341,108,Yogurt,5,4.0,9/22/2022,20.0,Colombo
88,870,108,Yogurt,6,4.0,4/20/2023,24.0,Colombo
89,511,107,Milk,2,2.0,10/26/2022,4.0,Colombo
90,172,107,Milk,7,2.0,9/23/2022,14.0,Colombo
91,510,103,Bread,4,3.0,7/11/2022,12.0,Colombo
92,370,104,Beef,7,10.0,12/20/2022,70.0,Colombo
93,947,109,Cereal,1,5.0,5/13/2022,5.0,Colombo
94,345,101,Banana,6,1.5,2/14/2023,9.0,Colombo
95,449,102,Cheese,5,2.5,1/19/2023,12.5,Colombo
96,297,108,Yogurt,9,4.0,6/14/2022,36.0,Colombo
97,216,106,Fish,9,12.0,8/29/2022,108.0,Colombo
98,436,108,Yogurt,8,4.0,3/7/2023,32.0,Colombo
99,718,105,Chicken,1,8.0,4/12/2023,8.0,Colombo
100,684,105,Chicken,9,8.0,11/7/2022,72.0,Colombo
101,107,106,Fish,10,12.0,4/11/2023,120.0,Colombo
102,895,108,Yogurt,5,4.0,11/13/2022,20.0,Colombo
103,939,107,Milk,1,2.0,7/12/2022,2.0,Colombo
104,197,102,Cheese,8,2.5,7/17/2022,20.0,Colombo
105,320,102,Cheese,7,2.5,8/2/2022,17.5,Colombo
106,764,109,Cereal,3,5.0,12/31/2022,15.0,Colombo
107,323,104,Beef,1,10.0,1/23/2023,10.0,Colombo
108,645,100,Apple,4,1.0,10/22/2022,4.0,Colombo
109,445,104,Beef,6,10.0,7/5/2022,60.0,Colombo
110,206,102,Cheese,10,2.5,2/14/2023,25.0,Colombo
111,513,108,Yogurt,10,4.0,5/5/2022,40.0,Kalutara
112,661,109,Cereal,7,5.0,9/3/2022,35.0,Kalutara
113,510,105,Chicken,3,8.0,11/17/2022,24.0,Kalutara
114,177,103,Bread,8,3.0,7/1/2022,24.0,Kalutara
115,712,105,Chicken,8,8.0,11/21/2022,64.0,Kalutara
116,215,102,Cheese,5,2.5,8/22/2022,12.5,Kalutara
117,708,106,Fish,10,12.0,5/28/2022,120.0,Kalutara
118,477,103,Bread,2,3.0,2/18/2023,6.0,Kalutara
119,100,101,Banana,7,1.5,3/4/2023,10.5,Kalutara
120,814,108,Yogurt,1,4.0,5/9/2022,4.0,Kalutara
121,265,104,Beef,4,10.0,12/31/2022,40.0,Kalutara
122,685,100,Apple,5,1.0,3/3/2023,5.0,Kalutara
123,703,100,Apple,1,1.0,3/26/2023,1.0,Kalutara
124,633,101,Banana,1,1.5,9/14/2022,1.5,Kalutara
125,888,102,Cheese,4,2.5,11/25/2022,10.0,Kalutara
126,202,103,Bread,7,3.0,5/26/2022,21.0,Kalutara
127,518,107,Milk,9,2.0,12/16/2022,18.0,Kalutara
128,410,106,Fish,1,12.0,8/1/2022,12.0,Kalutara
129,722,107,Milk,4,2.0,1/24/2023,8.0,Kalutara
130,912,100,Apple,2,1.0,8/14/2022,2.0,Kalutara
131,280,107,Milk,8,2.0,1/14/2023,16.0,Kalutara
132,312,105,Chicken,9,8.0,6/3/2022,72.0,Kalutara
133,579,106,Fish,7,12.0,7/18/2022,84.0,Kalutara
134,819,108,Yogurt,10,4.0,9/15/2022,40.0,Kalutara
135,704,100,Apple,6,1.0,2/4/2023,6.0,Kalutara
136,213,108,Yogurt,7,4.0,12/6/2022,28.0,Kalutara
137,796,107,Milk,3,2.0,8/20/2022,6.0,Kalutara
138,620,107,Milk,7,2.0,3/12/2023,14.0,Kalutara
139,274,105,Chicken,5,8.0,2/11/2023,40.0,Kalutara
140,654,100,Apple,6,1.0,5/21/2022,6.0,Kalutara
141,688,100,Apple,8,1.0,11/1/2022,8.0,Kalutara
142,823,107,Milk,2,2.0,5/13/2022,4.0,Kalutara
143,680,109,Cereal,10,5.0,7/27/2022,50.0,Kalutara
144,155,106,Fish,5,12.0,9/28/2022,60.0,Kalutara
145,575,109,Cereal,2,5.0,7/22/2022,10.0,Kalutara
146,704,102,Cheese,2,2.5,3/9/2023,5.0,Kalutara
147,647,108,Yogurt,5,4.0,12/15/2022,20.0,Kalutara
148,236,109,Cereal,3,5.0,7/22/2022,15.0,Kalutara
149,378,105,Chicken,3,8.0,8/16/2022,24.0,Kalutara
150,850,107,Milk,8,2.0,11/16/2022,16.0,Kalutara
151,269,100,Apple,6,1.0,8/16/2022,6.0,Kalutara
152,896,107,Milk,3,2.0,11/13/2022,6.0,Kalutara
153,946,101,Banana,9,1.5,3/2/2023,13.5,Kalutara
154,310,109,Cereal,4,5.0,8/11/2022,20.0,Kalutara
155,522,105,Chicken,5,8.0,1/3/2023,40.0,Kalutara
156,606,102,Cheese,6,2.5,9/28/2022,15.0,Kalutara
157,912,104,Beef,9,10.0,9/14/2022,90.0,Kalutara
158,406,105,Chicken,10,8.0,10/20/2022,80.0,Kalutara
159,878,104,Beef,10,10.0,6/11/2022,100.0,Kalutara
160,126,108,Yogurt,8,4.0,8/12/2022,32.0,Kalutara
161,461,104,Beef,7,10.0,3/31/2023,70.0,Kalutara
162,977,108,Yogurt,2,4.0,7/29/2022,8.0,Kalutara
163,893,107,Milk,4,2.0,3/30/2023,8.0,Kalutara
164,455,108,Yogurt,5,4.0,5/17/2022,20.0,Kalutara
165,886,101,Banana,1,1.5,10/23/2022,1.5,Kalutara
166,491,105,Chicken,7,8.0,5/9/2022,56.0,Kalutara
167,280,101,Banana,5,1.5,9/22/2022,7.5,Kalutara
168,657,108,Yogurt,8,4.0,6/27/2022,32.0,Kalutara
169,933,103,Bread,10,3.0,8/19/2022,30.0,Kalutara
170,800,104,Beef,6,10.0,10/29/2022,60.0,Kalutara
171,902,101,Banana,4,1.5,8/8/2022,6.0,Kalutara
172,935,103,Bread,8,3.0,8/22/2022,24.0,Kalutara
173,995,101,Banana,8,1.5,9/8/2022,12.0,Kalutara
174,538,106,Fish,7,12.0,7/17/2022,84.0,Kalutara
175,163,102,Cheese,9,2.5,7/20/2022,22.5,Kalutara
176,653,102,Cheese,7,2.5,10/30/2022,17.5,Kalutara
177,190,109,Cereal,9,5.0,1/8/2023,45.0,Kalutara
178,934,100,Apple,5,1.0,9/10/2022,5.0,Kalutara
179,728,108,Yogurt,10,4.0,5/29/2022,40.0,Kalutara
180,917,105,Chicken,3,8.0,9/16/2022,24.0,Kalutara
181,616,107,Milk,5,2.0,8/30/2022,10.0,Kalutara
182,678,108,Yogurt,9,4.0,2/16/2023,36.0,Kalutara
183,102,107,Milk,3,2.0,6/14/2022,6.0,Kalutara
184,806,108,Yogurt,10,4.0,6/25/2022,40.0,Kalutara
185,384,101,Banana,1,1.5,12/6/2022,1.5,Kalutara
186,781,104,Beef,1,10.0,11/11/2022,10.0,Kalutara
187,303,101,Banana,9,1.5,4/24/2022,13.5,Kalutara
188,396,103,Bread,4,3.0,10/17/2022,12.0,Kalutara
189,770,101,Banana,9,1.5,10/10/2022,13.5,Kalutara
190,299,106,Fish,2,12.0,4/16/2023,24.0,Kalutara
191,434,109,Cereal,2,5.0,8/30/2022,10.0,Kalutara
192,371,102,Cheese,7,2.5,12/28/2022,17.5,Kalutara
193,905,102,Cheese,2,2.5,8/13/2022,5.0,Kalutara
194,659,103,Bread,10,3.0,12/25/2022,30.0,Kalutara
195,224,109,Cereal,4,5.0,3/8/2023,20.0,Kalutara
196,415,109,Cereal,4,5.0,8/12/2022,20.0,Kalutara
197,900,100,Apple,4,1.0,11/30/2022,4.0,Kalutara
198,857,109,Cereal,5,5.0,5/22/2022,25.0,Kalutara
199,140,101,Banana,1,1.5,9/27/2022,1.5,Kalutara
200,644,102,Cheese,4,2.5,4/24/2023,10.0,Kalutara
201,907,105,Chicken,3,8.0,4/5/2023,24.0,Kalutara
202,823,104,Beef,7,10.0,10/25/2022,70.0,Kalutara
203,446,105,Chicken,10,8.0,12/2/2022,80.0,Kalutara
204,770,107,Milk,6,2.0,2/10/2023,12.0,Kalutara
205,940,100,Apple,8,1.0,7/23/2022,8.0,Kalutara
206,448,105,Chicken,6,8.0,10/21/2022,48.0,Kalutara
207,340,103,Bread,2,3.0,4/12/2023,6.0,Kalutara
208,507,104,Beef,3,10.0,4/10/2023,30.0,Kalutara
209,357,100,Apple,6,1.0,3/4/2023,6.0,Kalutara
210,820,108,Yogurt,2,4.0,5/13/2022,8.0,Kalutara
211,930,108,Yogurt,10,4.0,12/31/2022,40.0,Kalutara
212,236,106,Fish,7,12.0,4/13/2023,84.0,Kalutara
213,189,105,Chicken,9,8.0,11/1/2022,72.0,Kalutara
214,809,103,Bread,5,3.0,12/15/2022,15.0,Kalutara
215,113,109,Cereal,7,5.0,5/7/2022,35.0,Kalutara
216,783,107,Milk,2,2.0,12/1/2022,4.0,Kalutara
217,169,108,Yogurt,7,4.0,3/20/2023,28.0,Kalutara
218,474,100,Apple,1,1.0,12/12/2022,1.0,Kalutara
219,586,105,Chicken,1,8.0,1/7/2023,8.0,Kalutara
220,126,107,Milk,3,2.0,6/11/2022,6.0,Kalutara
221,967,102,Cheese,3,2.5,1/28/2023,7.5,Kalutara
222,917,102,Cheese,9,2.5,10/19/2022,22.5,Kalutara
223,524,106,Fish,6,12.0,8/2/2022,72.0,Kalutara
224,664,102,Cheese,9,2.5,8/29/2022,22.5,Kalutara
225,316,104,Beef,9,10.0,12/24/2022,90.0,Kalutara
226,369,108,Yogurt,5,4.0,11/8/2022,20.0,Kalutara
227,749,109,Cereal,3,5.0,8/3/2022,15.0,Kalutara
228,389,101,Banana,3,1.5,5/19/2022,4.5,Kalutara
229,608,104,Beef,2,10.0,10/19/2022,20.0,Kalutara
230,776,104,Beef,9,10.0,9/3/2022,90.0,Kalutara
231,388,103,Bread,10,3.0,8/7/2022,30.0,Kalutara
232,571,108,Yogurt,7,4.0,11/10/2022,28.0,Kalutara
233,769,106,Fish,10,12.0,3/24/2023,120.0,Kalutara
234,376,106,Fish,5,12.0,1/29/2023,60.0,Kalutara
235,902,103,Bread,10,3.0,10/5/2022,30.0,Kalutara
236,402,108,Yogurt,7,4.0,7/10/2022,28.0,Kalutara
237,915,107,Milk,7,2.0,6/15/2022,14.0,Kalutara
238,435,105,Chicken,5,8.0,12/20/2022,40.0,Kalutara
239,532,101,Banana,1,1.5,1/22/2023,1.5,Kalutara
240,350,109,Cereal,3,5.0,12/21/2022,15.0,Kalutara
241,432,106,Fish,10,12.0,12/15/2022,120.0,Kalutara
242,783,100,Apple,3,1.0,10/22/2022,3.0,Kalutara
243,927,107,Milk,6,2.0,3/24/2023,12.0,Kalutara
244,989,102,Cheese,9,2.5,3/2/2023,22.5,Kalutara
245,902,109,Cereal,3,5.0,4/5/2023,15.0,Kalutara
246,555,107,Milk,7,2.0,1/13/2023,14.0,Kalutara
247,425,102,Cheese,7,2.5,9/10/2022,17.5,Kalutara
248,109,105,Chicken,2,8.0,4/9/2023,16.0,Kalutara
249,416,100,Apple,4,1.0,8/30/2022,4.0,Kalutara
250,359,103,Bread,9,3.0,10/15/2022,27.0,Galle
251,252,103,Bread,2,3.0,4/1/2023,6.0,Galle
252,692,104,Beef,9,10.0,3/22/2023,90.0,Galle
253,389,105,Chicken,4,8.0,7/15/2022,32.0,Galle
254,542,104,Beef,6,10.0,6/17/2022,60.0,Galle
255,955,101,Banana,7,1.5,5/10/2022,10.5,Galle
256,899,100,Apple,4,1.0,9/16/2022,4.0,Galle
257,498,102,Cheese,9,2.5,3/30/2023,22.5,Galle
258,771,102,Cheese,5,2.5,9/11/2022,12.5,Galle
259,741,109,Cereal,1,5.0,5/29/2022,5.0,Galle
260,458,108,Yogurt,10,4.0,7/27/2022,40.0,Galle
261,575,108,Yogurt,2,4.0,8/15/2022,8.0,Galle
262,995,102,Cheese,1,2.5,1/28/2023,2.5,Galle
263,517,102,Cheese,9,2.5,1/25/2023,22.5,Galle
264,508,109,Cereal,2,5.0,3/12/2023,10.0,Galle
265,755,103,Bread,1,3.0,4/10/2023,3.0,Galle
266,112,100,Apple,7,1.0,4/25/2022,7.0,Galle
267,593,108,Yogurt,8,4.0,7/15/2022,32.0,Galle
268,228,104,Beef,5,10.0,6/10/2022,50.0,Galle
269,261,109,Cereal,9,5.0,1/13/2023,45.0,Galle
270,721,100,Apple,9,1.0,11/9/2022,9.0,Galle
271,350,105,Chicken,8,8.0,3/16/2023,64.0,Galle
272,559,107,Milk,6,2.0,2/28/2023,12.0,Galle
273,962,108,Yogurt,8,4.0,8/19/2022,32.0,Galle
274,566,108,Yogurt,8,4.0,10/27/2022,32.0,Galle
275,985,108,Yogurt,3,4.0,4/6/2023,12.0,Galle
276,871,104,Beef,8,10.0,10/21/2022,80.0,Galle
277,310,100,Apple,1,1.0,8/1/2022,1.0,Galle
278,749,106,Fish,4,12.0,2/14/2023,48.0,Galle
279,378,104,Beef,9,10.0,4/12/2023,90.0,Galle
280,340,101,Banana,2,1.5,6/13/2022,3.0,Galle
281,337,103,Bread,9,3.0,5/2/2022,27.0,Galle
282,714,100,Apple,9,1.0,6/12/2022,9.0,Galle
283,752,108,Yogurt,1,4.0,3/14/2023,4.0,Galle
284,934,100,Apple,4,1.0,5/27/2022,4.0,Galle
285,477,109,Cereal,8,5.0,11/3/2022,40.0,Galle
286,314,109,Cereal,7,5.0,2/11/2023,35.0,Galle
287,537,106,Fish,2,12.0,11/1/2022,24.0,Galle
288,681,109,Cereal,10,5.0,10/19/2022,50.0,Galle
289,498,102,Cheese,9,2.5,10/19/2022,22.5,Galle
290,688,108,Yogurt,8,4.0,10/12/2022,32.0,Galle
291,593,101,Banana,9,1.5,12/5/2022,13.5,Galle
292,493,108,Yogurt,2,4.0,5/15/2022,8.0,Galle
293,569,101,Banana,1,1.5,7/1/2022,1.5,Galle
294,236,102,Cheese,9,2.5,7/1/2022,22.5,Galle
295,508,106,Fish,1,12.0,4/24/2023,12.0,Galle
296,877,100,Apple,9,1.0,7/27/2022,9.0,Galle
297,416,103,Bread,9,3.0,4/2/2023,27.0,Galle
298,541,106,Fish,1,12.0,6/24/2022,12.0,Galle
299,379,109,Cereal,7,5.0,12/21/2022,35.0,Galle
300,113,105,Chicken,8,8.0,10/4/2022,64.0,Galle
301,108,104,Beef,4,10.0,9/26/2022,40.0,Galle
302,372,106,Fish,9,12.0,10/9/2022,108.0,Galle
303,780,105,Chicken,9,8.0,7/22/2022,72.0,Galle
304,706,100,Apple,1,1.0,3/4/2023,1.0,Galle
305,710,107,Milk,5,2.0,12/12/2022,10.0,Galle
306,313,103,Bread,8,3.0,12/30/2022,24.0,Galle
307,756,103,Bread,5,3.0,10/16/2022,15.0,Matara
308,125,102,Cheese,10,2.5,5/23/2022,25.0,Matara
309,807,101,Banana,7,1.5,5/28/2022,10.5,Matara
310,716,105,Chicken,3,8.0,3/20/2023,24.0,Matara
311,867,108,Yogurt,3,4.0,9/28/2022,12.0,Matara
312,276,103,Bread,6,3.0,9/19/2022,18.0,Matara
313,672,106,Fish,4,12.0,10/2/2022,48.0,Matara
314,294,108,Yogurt,6,4.0,4/26/2022,24.0,Matara
315,736,100,Apple,4,1.0,10/28/2022,4.0,Matara
316,312,100,Apple,9,1.0,6/25/2022,9.0,Matara
317,377,101,Banana,1,1.5,5/20/2022,1.5,Matara
318,245,105,Chicken,2,8.0,5/20/2022,16.0,Matara
319,509,104,Beef,9,10.0,4/24/2022,90.0,Matara
320,255,100,Apple,10,1.0,8/11/2022,10.0,Matara
321,960,109,Cereal,2,5.0,1/20/2023,10.0,Matara
322,333,104,Beef,9,10.0,8/2/2022,90.0,Matara
323,779,103,Bread,8,3.0,9/26/2022,24.0,Matara
324,453,101,Banana,1,1.5,2/17/2023,1.5,Matara
325,578,102,Cheese,3,2.5,1/2/2023,7.5,Matara
326,685,100,Apple,9,1.0,3/23/2023,9.0,Matara
327,655,104,Beef,6,10.0,1/7/2023,60.0,Matara
328,408,104,Beef,5,10.0,11/24/2022,50.0,Matara
329,701,107,Milk,9,2.0,11/27/2022,18.0,Matara
330,912,100,Apple,8,1.0,9/22/2022,8.0,Matara
331,413,100,Apple,3,1.0,4/19/2023,3.0,Matara
332,786,106,Fish,6,12.0,9/29/2022,72.0,Matara
333,348,102,Cheese,6,2.5,9/5/2022,15.0,Matara
334,772,102,Cheese,8,2.5,7/12/2022,20.0,Matara
335,781,103,Bread,9,3.0,2/4/2023,27.0,Matara
336,431,102,Cheese,5,2.5,2/14/2023,12.5,Matara
337,253,105,Chicken,10,8.0,6/15/2022,80.0,Matara
338,390,107,Milk,9,2.0,1/22/2023,18.0,Matara
339,860,109,Cereal,4,5.0,7/30/2022,20.0,Matara
340,729,109,Cereal,6,5.0,2/14/2023,30.0,Matara
341,476,100,Apple,6,1.0,10/21/2022,6.0,Matara
342,849,108,Yogurt,8,4.0,1/5/2023,32.0,Matara
343,385,100,Apple,9,1.0,1/20/2023,9.0,Matara
344,293,108,Yogurt,8,4.0,7/2/2022,32.0,Matara
345,845,108,Yogurt,10,4.0,8/17/2022,40.0,Matara
346,784,103,Bread,6,3.0,10/19/2022,18.0,Matara
347,424,109,Cereal,6,5.0,12/2/2022,30.0,Matara
348,797,109,Cereal,4,5.0,6/2/2022,20.0,Matara
349,966,107,Milk,8,2.0,6/2/2022,16.0,Matara
350,951,103,Bread,2,3.0,12/19/2022,6.0,Matara
351,233,102,Cheese,7,2.5,10/13/2022,17.5,Matara
352,248,106,Fish,3,12.0,3/23/2023,36.0,Matara
353,297,106,Fish,2,12.0,6/25/2022,24.0,Matara
354,333,105,Chicken,7,8.0,9/10/2022,56.0,Matara
355,428,105,Chicken,5,8.0,5/29/2022,40.0,Matara
356,623,102,Cheese,3,2.5,12/15/2022,7.5,Matara
357,627,104,Beef,4,10.0,6/2/2022,40.0,Matara
358,957,104,Beef,9,10.0,8/3/2022,90.0,Matara
359,215,100,Apple,5,1.0,2/24/2023,5.0,Matara
360,443,107,Milk,3,2.0,8/9/2022,6.0,Matara
361,327,107,Milk,9,2.0,11/12/2022,18.0,Matara
362,411,104,Beef,10,10.0,5/1/2022,100.0,Matara
363,241,106,Fish,10,12.0,8/26/2022,120.0,Matara
364,845,104,Beef,10,10.0,11/5/2022,100.0,Matara
365,341,101,Banana,7,1.5,2/13/2023,10.5,Matara
366,246,109,Cereal,6,5.0,3/9/2023,30.0,Matara
367,589,100,Apple,6,1.0,12/11/2022,6.0,Matara
368,551,100,Apple,6,1.0,4/7/2023,6.0,Matara
369,224,103,Bread,10,3.0,5/28/2022,30.0,Matara
370,986,108,Yogurt,10,4.0,9/17/2022,40.0,Matara
371,263,106,Fish,4,12.0,11/4/2022,48.0,Matara
372,716,101,Banana,2,1.5,3/12/2023,3.0,Matara
373,181,107,Milk,4,2.0,6/30/2022,8.0,Matara
374,524,108,Yogurt,3,4.0,4/25/2022,12.0,Matara
375,126,107,Milk,9,2.0,12/10/2022,18.0,Matara
376,401,102,Cheese,9,2.5,7/1/2022,22.5,Matara
377,323,102,Cheese,10,2.5,9/7/2022,25.0,Matara
378,947,102,Cheese,10,2.5,6/10/2022,25.0,Matara
379,730,109,Cereal,10,5.0,3/22/2023,50.0,Matara
380,588,102,Cheese,8,2.5,5/15/2022,20.0,Matara
381,207,109,Cereal,10,5.0,6/17/2022,50.0,Matara
382,210,104,Beef,4,10.0,1/16/2023,40.0,Matara
383,815,103,Bread,3,3.0,10/2/2022,9.0,Matara
384,362,108,Yogurt,4,4.0,8/29/2022,16.0,Matara
385,228,101,Banana,1,1.5,3/4/2023,1.5,Matara
386,293,102,Cheese,7,2.5,8/25/2022,17.5,Matara
387,685,102,Cheese,7,2.5,9/30/2022,17.5,Matara
388,253,105,Chicken,4,8.0,9/13/2022,32.0,Matara
389,814,103,Bread,4,3.0,5/15/2022,12.0,Matara
390,852,107,Milk,4,2.0,3/9/2023,8.0,Matara
391,942,108,Yogurt,4,4.0,12/8/2022,16.0,Matara
392,364,102,Cheese,4,2.5,1/11/2023,10.0,Matara
393,331,106,Fish,5,12.0,10/21/2022,60.0,Matara
394,787,105,Chicken,7,8.0,9/28/2022,56.0,Matara
395,485,100,Apple,3,1.0,6/19/2022,3.0,Matara
396,550,105,Chicken,3,8.0,11/28/2022,24.0,Matara
397,554,102,Cheese,1,2.5,6/26/2022,2.5,Matara
398,238,103,Bread,10,3.0,4/27/2022,30.0,Matara
399,613,107,Milk,4,2.0,8/21/2022,8.0,Matara
400,276,100,Apple,9,1.0,9/12/2022,9.0,Matara
401,332,106,Fish,4,12.0,8/2/2022,48.0,Matara
402,940,103,Bread,5,3.0,7/27/2022,15.0,Matara
403,612,101,Banana,9,1.5,3/29/2023,13.5,Matara
404,307,108,Yogurt,10,4.0,10/30/2022,40.0,Matara
405,137,102,Cheese,1,2.5,5/30/2022,2.5,Matara
406,778,108,Yogurt,1,4.0,6/7/2022,4.0,Matara
407,895,105,Chicken,5,8.0,1/29/2023,40.0,Matara
408,254,109,Cereal,5,5.0,11/19/2022,25.0,Matara
409,995,107,Milk,3,2.0,9/7/2022,6.0,Matara
410,818,105,Chicken,8,8.0,11/13/2022,64.0,Matara
411,677,102,Cheese,6,2.5,9/17/2022,15.0,Matara
412,194,101,Banana,5,1.5,9/24/2022,7.5,Matara
413,587,108,Yogurt,7,4.0,11/13/2022,28.0,Matara
414,916,107,Milk,2,2.0,8/8/2022,4.0,Matara
415,485,101,Banana,3,1.5,4/25/2022,4.5,Matara
416,654,104,Beef,9,10.0,11/30/2022,90.0,Matara
417,372,104,Beef,2,10.0,2/25/2023,20.0,Matara
418,455,108,Yogurt,3,4.0,10/20/2022,12.0,Matara
419,134,101,Banana,3,1.5,3/13/2023,4.5,Matara
420,556,105,Chicken,9,8.0,11/27/2022,72.0,Matara
421,466,106,Fish,7,12.0,8/25/2022,84.0,Matara
422,741,105,Chicken,8,8.0,5/5/2022,64.0,Matara
423,128,109,Cereal,1,5.0,6/7/2022,5.0,Matara
424,263,107,Milk,8,2.0,2/20/2023,16.0,Matara
425,542,100,Apple,5,1.0,10/5/2022,5.0,Matara
426,330,103,Bread,9,3.0,7/18/2022,27.0,Matara
427,951,101,Banana,2,1.5,3/13/2023,3.0,Matara
